idiom,definition,group num,count M,count F,total,total,min,max,avg,idiom,tokens
out of the picture,when people have been eliminated in a contest or tournament,618,1684,1770,3454,0.15141174,0.17475799,0.16308486,0.22451895475387573,2
broke a leg,good luck wish,137,64,81,145,-1,-1,-1,-1,0
breaking a leg,good luck wish,137,54,52,106,-1,-1,-1,-1,0
break a leg,good luck wish,137,314,372,686,0.15019432,0.33291116,0.24155274,0.31304991245269775,2
breaks a leg,good luck wish,137,25,30,55,0.15019432,0.33291116,0.24155274,0.31304991245269775,2
up for grabs,when something is available and whoever is first or is successful will get it,852,1251,994,2245,0.15012166,0.15012166,0.15012166,0.15012164413928986,1
calculated risk,a risk taken with full knowledge of the dangers involved,155,374,199,573,0.14868584,0.32443118,0.23655851,0.34257516264915466,2
eat you alive,to criticize someone severely because you are angry with them,252,325,299,624,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eat me alive,to criticize someone severely because you are angry with them,252,75,140,215,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eating me alive,to criticize someone severely because you are angry with them,252,57,131,188,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eat him alive,to criticize someone severely because you are angry with them,252,104,49,153,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eat them alive,to criticize someone severely because you are angry with them,252,77,32,109,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eating you alive,to criticize someone severely because you are angry with them,252,28,59,87,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eat her alive,to criticize someone severely because you are angry with them,252,34,33,67,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
ate me alive,to criticize someone severely because you are angry with them,252,19,39,58,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
eats me alive,to criticize someone severely because you are angry with them,252,13,41,54,0.14860398,0.26186505,0.20523451,0.27858880162239075,2
pick a fight,to deliberately look for an opportunity to start a quarrel or begin an argument,632,1706,1263,2969,0.1464921,0.37942904,0.26296055,0.3133528530597687,2
picking a fight,to deliberately look for an opportunity to start a quarrel or begin an argument,632,506,409,915,0.1464921,0.37942904,0.26296055,0.3133528530597687,2
picked a fight,to deliberately look for an opportunity to start a quarrel or begin an argument,632,345,269,614,0.1464921,0.37942904,0.26296055,0.3133528530597687,2
picks a fight,to deliberately look for an opportunity to start a quarrel or begin an argument,632,108,80,188,0.1464921,0.37942904,0.26296055,0.3133528530597687,2
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,14,337,265,602,0.14599758,0.46573722,0.3058674,0.34289586544036865,2
at stake,something in a situation where it might be lost,56,3423,2544,5967,0.14454506,0.14454506,0.14454506,0.1445450633764267,1
bite your tongue,to stop yourself from saying something because it would be better not to,111,279,382,661,0.14416707,0.25322726,0.20300369,0.30989134311676025,3
hold water,"it means that the point of view or argument put forward is sound, strong or logical",413,1234,715,1949,0.14416045,0.32927695,0.2367187,0.32326555252075195,2
holds water,"it means that the point of view or argument put forward is sound, strong or logical",413,389,217,606,0.14416045,0.32927695,0.2367187,0.32326555252075195,2
holding water,"it means that the point of view or argument put forward is sound, strong or logical",413,86,89,175,0.14416045,0.32927695,0.2367187,0.32326555252075195,2
held water,"it means that the point of view or argument put forward is sound, strong or logical",413,57,27,84,0.14416045,0.32927695,0.2367187,0.32326555252075195,2
riding high,someone who is enjoying a period of success or popularity,687,240,113,353,0.14415723,0.20210904,0.17313313,0.22396905720233917,2
sweet nothings,pleasant but unimportant words that lovers say to each other,770,226,301,527,0.14352342,0.22528994,0.18440668,0.26797521114349365,2
smooth sailing,easy progress without impediment or difficulty,738,867,1409,2276,0.14331317,0.273315,0.20831409,0.2921375334262848,2
cut it out,to telling someone to stop doing something,212,1892,3160,5052,0.1427173,0.37304986,0.25788358,0.34700244665145874,2
dead man walking,"someone who will inevitably be in great trouble very soon, especially a person who is about to lose their job or position",221,184,72,256,0.14186358,0.37161168,0.28901306,0.4327579736709595,3
stark raving mad,someone whos is completely crazy,754,58,34,92,0.14128964,0.30356717,0.23282848,0.34960243105888367,3
tip of the iceberg,the part that is known of a problem or situation which is thought to be much more serious,826,1255,1400,2655,0.140764,0.23068756,0.18572578,0.21924878656864166,2
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,23,1316,764,2080,0.1386456,0.19148815,0.16506687,0.21246495842933655,2
lost his marbles,"to become mentally confused, or no longer behave sensibly or rationally",522,46,45,91,0.13839477,0.3252241,0.23180944,0.3386383056640625,2
grin from ear to ear,to look vey satisfied and happy,365,35,31,66,0.13821635,0.3778792,0.21810396,0.2681836187839508,3
run amok,"in the grip of strong emotion to behave out-of-control, or in unrestrained manner",697,529,365,894,0.13750415,0.21369556,0.17559984,0.23631228506565094,2
running amok,"in the grip of strong emotion to behave out-of-control, or in unrestrained manner",697,296,211,507,0.13750415,0.21369556,0.17559984,0.23631228506565094,2
ran amok,"in the grip of strong emotion to behave out-of-control, or in unrestrained manner",697,36,16,52,0.13750415,0.21369556,0.17559984,0.23631228506565094,2
recipe for disaster,a mixture of people and events that could only possibly result in trouble,678,1575,1977,3552,0.13703707,0.37881094,0.25792402,0.32440459728240967,2
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",48,411,336,747,0.13684279,0.576795,0.35681888,0.5148040056228638,2
on the same wavelength,"people who find it easy to understand each other and they tend to agree, because they share similar interests or opinions",603,345,701,1046,0.13638191,0.2956373,0.21600962,0.313475102186203,2
as the crow flies,measuring distance between two places in a straight line,44,219,99,318,0.13602334,0.16981995,0.15292165,0.19678880274295807,2
tough as nails,strong and stubborn or determined,836,584,307,891,0.13394307,0.44640875,0.2901759,0.39856553077697754,2
ride it out,if you manage to survive a dangerous or very unpleasant situation,686,1051,1354,2405,0.13196379,0.20779154,0.16987766,0.22373802959918976,2
drive a wedge between,to damage the good relationship that two people or groups of people have,244,253,340,593,0.13180965,0.22668186,0.19348492,0.30768635869026184,3
bundle of nerves,"someone who is very nervous, tense or worried",145,52,178,230,0.13178414,0.36389798,0.24784106,0.33637744188308716,2
batten down the hatches,"to prepare yourself for danger or a forthcoming difficult period, like a ship preparing for a storm",78,85,91,176,0.13077685,0.16199934,0.14295809,0.20226049423217773,3
draw a blank,to fail to get an answer or a result,242,74,91,165,-1,-1,-1,-1,0
drawing a blank,to fail to get an answer or a result,242,575,560,1135,0.1297087,0.15748015,0.14359443,0.1825398951768875,2
drew a blank,to fail to get an answer or a result,242,31,40,71,0.1297087,0.15748015,0.14359443,0.1825398951768875,2
dead in the water,a plan at a standstill or has ceased to function and is unlikely to be reactivated in the future,220,811,336,1147,0.12803547,0.28311437,0.20557493,0.07897871732711792,2
