bite off more than one can chews,"to try to do something that is too difficult for you, or more than you can manage",109
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",109
bite off more than one can chewing,"to try to do something that is too difficult for you, or more than you can manage",109
bite the bullet,"to force yourself to do something unpleasant or difficult, or to be brave in a difficult situation",110
bite your tongue,to stop yourself from saying something because it would be better not to,111
bitter pill to swallowed,an unpleasant fact that must be accepted,112
bitter pill to swallowing,an unpleasant fact that must be accepted,112
bitter pill to swallow,an unpleasant fact that must be accepted,112
bitter pill to swallows,an unpleasant fact that must be accepted,112
black and blue,with dark marks on your skin caused by being hit or having an accident,113
black mood,"to be irritable, angry or even depressed",114
black sheep of the family,a person who has done something bad that brings embarrassment or shame to his or her family,115
blamestorming,"a discussion among a group of people who try to determine who or what is to blame for a particular mistake, failure or wrongdoing",116
blessing in disguise,something that turns out to be good which earlier appeared to be wrong,117
blind leading the blind,someone who does not understand something but tries to explain it to others,118
blow a fuse,to suddenly lose your temper and become very angry,119
blow a gasket,to explode with anger,120
blow away the cobwebs,"to get rid of feelings of tiredness, usually with fresh air or exercise",121
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,122
blow your own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,122
blow their own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,122
blow my own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,122
blow her own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,122
blow my mind,"to impress someone very much, or to make them feel very excited",123
blow your mind,"to impress someone very much, or to make them feel very excited",123
blow her mind,"to impress someone very much, or to make them feel very excited",123
blow their mind,"to impress someone very much, or to make them feel very excited",123
blow his mind,"to impress someone very much, or to make them feel very excited",123
blow their top,to suddenly become very angry,124
blow his top,to suddenly become very angry,124
blow her top,to suddenly become very angry,124
blow my top,to suddenly become very angry,124
blow your top,to suddenly become very angry,124
blow up in face,unexpectedly goes wrong and destroys the plans or the chances of something,125
blue blood,belonging to high social class,126
blue in the face,exhausted and speechless,127
bolt from the blue,something important or unusual that happens suddenly or unexpectedly,128
bone of contention,a matter or subject about which there is a lot of disagreement,129
bone to picked,to want to talk to someone about something annoying they have done,130
bone to pick,to want to talk to someone about something annoying they have done,130
bone to picking,to want to talk to someone about something annoying they have done,130
bone to picks,to want to talk to someone about something annoying they have done,130
bored to tears,to find something so dull and uninteresting that it makes you sad enough to cry,131
made a botch of,"to spoil something, or make a mess of it, by doing a job badly or incorrectly",132
make a botch of,"to spoil something, or make a mess of it, by doing a job badly or incorrectly",132
makes a botch of,"to spoil something, or make a mess of it, by doing a job badly or incorrectly",132
making a botch of,"to spoil something, or make a mess of it, by doing a job badly or incorrectly",132
botch up,"to spoil something, or make a mess of it, by doing a job badly or incorrectly",133
bottom fell out,"when something causes a plan, project or venture to collapse or fail",134
bow and scraped,try too hard to please someone in a position of authority,135
bow and scraping,try too hard to please someone in a position of authority,135
bow and scrape,try too hard to please someone in a position of authority,135
bow and scrapes,try too hard to please someone in a position of authority,135
brass monkey weather,extremely cold weather,136
broke a leg,good luck wish,137
breaking a leg,good luck wish,137
breaks a leg,good luck wish,137
broken a leg,good luck wish,137
break a leg,good luck wish,137
broken out in a cold sweat,to begin sweating because one is nervous or frightened,138
broke out in a cold sweat,to begin sweating because one is nervous or frightened,138
break out in a cold sweat,to begin sweating because one is nervous or frightened,138
breaks out in a cold sweat,to begin sweating because one is nervous or frightened,138
breaking out in a cold sweat,to begin sweating because one is nervous or frightened,138
break the back of,to get most or the worst part of a particular task done,139
breaking the back of,to get most or the worst part of a particular task done,139
broke the back of,to get most or the worst part of a particular task done,139
broken the back of,to get most or the worst part of a particular task done,139
breaks the back of,to get most or the worst part of a particular task done,139
broke the back of the beast,to succeed in overcoming a major difficulty,140
broken the back of the beast,to succeed in overcoming a major difficulty,140
breaks the back of the beast,to succeed in overcoming a major difficulty,140
break the back of the beast,to succeed in overcoming a major difficulty,140
breaking the back of the beast,to succeed in overcoming a major difficulty,140
broke the ice,"to get more comfort or relaxed with a person whom you have not met earlier, to break the silence",141
break the ice,"to get more comfort or relaxed with a person whom you have not met earlier, to break the silence",141
breaking the ice,"to get more comfort or relaxed with a person whom you have not met earlier, to break the silence",141
breaks the ice,"to get more comfort or relaxed with a person whom you have not met earlier, to break the silence",141
broken the ice,"to get more comfort or relaxed with a person whom you have not met earlier, to break the silence",141
bright-eyed and bushy-tailed,to be very enthusiastic and full of energy,142
bring home the bacon,to earn money for a family to live on,143
bringing home the bacon,to earn money for a family to live on,143
brought home the bacon,to earn money for a family to live on,143
brings home the bacon,to earn money for a family to live on,143
brings the house down,to give a very successful performance,144
bringing the house down,to give a very successful performance,144
bring the house down,to give a very successful performance,144
brought the house down,to give a very successful performance,144
bundle of nerves,"someone who is very nervous, tense or worried",145
burn a hole in his pocket,to spend money quickly,146
burns a hole in my pocket,to spend money quickly,146
burning a hole in her pocket,to spend money quickly,146
burns a hole in their pocket,to spend money quickly,146
burnt a hole in my pocket,to spend money quickly,146
burnt a hole in his pocket,to spend money quickly,146
burning a hole in their pocket,to spend money quickly,146
burning a hole in your pocket,to spend money quickly,146
burns a hole in her pocket,to spend money quickly,146
burn a hole in your pocket,to spend money quickly,146
burn a hole in my pocket,to spend money quickly,146
burnt a hole in her pocket,to spend money quickly,146
burned a hole in my pocket,to spend money quickly,146
